"NAME","ZIP","asset_size","MAINOFF","CERT","OFFNAME"
"First Cornerstone Bank","19406","112745.0","1","35312","First Cornerstone Bank"
"Alamerica Bank","35205","36070.0","1","35314","Alamerica Bank"
"Commercial State Bank","39845","98194.0","1","35319","Commercial State Bank"
"Bank Of Terrell","39842","145245.0","1","35320","Bank Of Terrell"
"Capital Bank, Ssb","79901","336646.0","1","35322","Capital Bank, Ssb"
"Utah Community Bank","84094","31552.0","1","35323","Utah Community Bank"
"The Bank Of Northern Michigan","49770","405362.0","1","35324","The Bank Of Northern Michigan"
"Citizens Community Bank","23970","170236.0","1","35326","Citizens Community Bank"
"American Express Bank, Fsb.","84184","4.9187828E7","1","35328","American Express Bank, Fsb."
"California First National Bank","92614","670057.0","1","35331","California First National Bank"
"Oak Bank","53711","275548.0","1","35333","Oak Bank"
"The National Bank Of Georgia","30606","365630.0","1","35338","The National Bank Of Georgia"
"Hantz Bank","48034","191168.0","1","35345","Hantz Bank"
"Central Bank Of Oklahoma","74137","650257.0","1","35348","Central Bank Of Oklahoma"
"Traverse City State Bank","49684","276454.0","1","35350","Traverse City State Bank"
"South Sound Bank","98502","170423.0","1","35355","South Sound Bank"
"Five Star Bank","95677","748878.0","1","35361","Five Star Bank"
"Bank Of Oak Ridge","27310","356885.0","1","35365","Bank Of Oak Ridge"
"Chino Commercial Bank, N.A.","91710","145742.0","1","35366","Chino Commercial Bank, N.A."
"Peoples Bank","53121","215793.0","1","35367","Peoples Bank"
"Community Bank Corporation","55318","203107.0","1","35370","Community Bank Corporation"
"Friends Bank","32168","97438.0","1","35376","Friends Bank"
"Alpine Capital Bank","10019","266133.0","1","35377","Alpine Capital Bank"
"Premier Bank & Trust","44720","297341.0","1","35385","Premier Bank & Trust"
"Sei Private Trust Company","19456","145309.0","1","35388","Sei Private Trust Company"
"United Trust Bank","60463","38303.0","1","35393","United Trust Bank"
"The Massmutual Trust Company","6082","71397.0","1","35394","The Massmutual Trust Company"
"Bankvista","56377","155396.0","1","35406","Bankvista"
"Yampa Valley Bank","80477","213430.0","1","35407","Yampa Valley Bank"
"American Community Bank & Trust","60098","485040.0","1","35412","American Community Bank & Trust"
"Tristar Bank","37055","233316.0","1","35417","Tristar Bank"
"Branson Bank","65616","175590.0","1","35420","Branson Bank"
"The Leaders Bank","60523","347937.0","1","35422","The Leaders Bank"
"Two River Community Bank","7748","844241.0","1","35426","Two River Community Bank"
"United National Bank","39828","184039.0","1","35427","United National Bank"
"Optimumbank","33324","132469.0","1","35430","Optimumbank"
"Frontier Savings Bank","51503","36011.0","1","35432","Frontier Savings Bank"
"Bank Of Brookhaven","39601","147102.0","1","35439","Bank Of Brookhaven"
"Four Corners Community Bank","87401","307425.0","1","35441","Four Corners Community Bank"
"Citizens Bank Of Cumberland County, Inc.","42717","69913.0","1","35442","Citizens Bank Of Cumberland County, Inc."
"The Bancorp Bank","19809","4693631.0","1","35444","The Bancorp Bank"
"First Business Bank-Milwaukee","53045","233812.0","1","35445","First Business Bank-Milwaukee"
"Century Bank Of Kentucky, Inc.","40342","115000.0","1","35450","Century Bank Of Kentucky, Inc."
